Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,31.1,34.9,25.9,998.2,76,0,1.9,6.7,11.1,, , , , 
2,31.8,36,27.5,999.6,71,0,1.9,11.7,18.3,, , , , 
3,32.2,36.1,27.4,1000.8,69,0,1.9,9.3,14.8,, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,,o, , , 
6,,,,,,,,,,,o, ,o, 
7,28.4,30.6,25.3,1001.8,88,0.51,1.4,3.1,7.6,,o, ,o, 
8,28.1,30.8,25.8,1000.6,88,16,1.9,8,18.3,,o, , , 
9,27.4,30.8,25.4,1000.8,90,2.03,1.9,3.1,9.4,, , ,o, 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,30.1,34.6,27.2,1000,79,0,1.9,10.2,18.3,, , , , 
14,29.7,34.9,26.1,1000.3,79,0,1.9,8.3,18.3,,o, , , 
15,27.7,30.7,24.8,1001.8,88,8.89,1.9,7.2,14.8,,o, , , 
16,,,,,,,,,,,o, ,o, 
17,,,,,,,,,,,o, ,o, 
18,,,,,,,,,,, , ,o, 
19,28.4,33.1,26,1000,86,0.25,1.9,5,18.3,,o, , , 
20,27.4,33.5,24.4,999.1,90,12.95,1.1,5.4,18.3,,o, ,o, 
21,29.2,34.4,24.8,999,81,95,2.1,7.8,29.4,,o, , , 
22,,,,,,,,,,,o, , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,30.4,36.5,27.8,999.3,82,12.95,1.4,2,7.6,,o, , , 
26,32.1,36.7,26.8,998.1,74,0,1.9,6.5,14.8,, , , , 
27,32,35.5,27.6,999.8,65,0,2.6,16.9,29.4,, , , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,,o, , , 
31,29.1,34.2,25.9,1003.4,76,0,1.9,5.6,9.4,, , , , 
