key,state,ccode,scode,year,vcrime90,vcrime00,pcrime90,pcrime00,waea90,waea00,enroll90,enroll00,gspcap90,gspcap00,gsp90,gsp00,pop90,pop00,medhhd90,medhhd00,urbanp2000,urbanp1990,unemp2000,unemp1990,inituse,census4,census9,domPolCulture,lowhsREP,upphsREP,govrnREP,unifGOVT,profleg,conserve,repub
112000,Maine,11,ME,2000,736.3,476.1,4561.5,2550,63.8,73,96.5,93.7,19136.3,28451.77,23498,36276,1227928,1275000,36247,46753,40.2,44.6,3.5,5.2,10,Northeast,New England,Moralistic,0,0.2,0.6,0,0.16,-0.02,0.15
122000,New Hampshire,12,NH,2000,330,327.6,3883.1,3767.9,67.75,73.6,89.1,89.7,21530.73,38337.38,23883,47385,1109252,1236000,27482,41750,59.3,51,2.8,5.7,0,Northeast,New England,Moralistic,1,1,0.6,0.6,0.04,0.01,0.23
132000,Vermont,13,VT,2000,350.6,281.7,4090,2746.4,66.68,74.7,94.3,97.4,20916.63,29760.26,11771,18124,562758,609000,35073,47163,38.2,87,2.9,5,0,Northeast,New England,Moralistic,0.1,0.5,0.2,1,0.15,-0.12,0.13
142000,Massachusetts,14,MA,2000,143.2,109.6,3554.5,2510.2,66.8,72,88.8,90.3,26587.05,44585.29,159959,283072,6016425,6349000,27464,37266,91.4,84.3,2.6,6,18,Northeast,New England,Individualistic,0,0,1,0,0.61,-0.11,-0.02
152000,Rhode Island,15,RI,2000,431.9,297.7,4920.8,3178.7,59.33,67.57,87.5,87.3,21557.33,34433.2,21632,36086,1003464,1048000,31968,42197,90.9,86,4.1,6.8,0,Northeast,New England,Individualistic,0,0,0.6,0.4,0.15,-0.08,0.03
162000,Connecticut,16,CT,2000,553.7,324.7,4833,2908,66.2,74.05,90.2,90.8,30099.03,47542.28,98939,161929,3287116,3406000,38870,50172,87.7,79.1,2.3,5.2,0,Northeast,New England,Individualistic,0,0.2,0.6,0.2,0.23,-0.06,0.1
212000,New York,21,NY,2000,647.6,383.8,4799.7,2776.6,61.88,69.05,86.6,89.5,27917.3,42073.25,502245,798382,17990456,18976000,25039,35093,87.5,84.3,4.6,5.3,0,Northeast,Middle Atlantic,Individualistic,0,1,0.6,1,0.66,-0.04,0.16
222000,New Jersey,22,NJ,2000,600.9,524.2,5462.7,3744.4,63.75,73,85.9,88.3,28068.14,42483.13,216972,357453,7730188,8414000,40805,50926,94.4,89.4,3.8,5.1,0,Northeast,Middle Atlantic,Individualistic,1,1,0.7,0.7,0.26,-0.09,0.1
232000,Pennsylvania,23,PA,2000,431,420,3045.1,2575.3,60.5,70.35,83.5,84.9,21032.44,32528.95,249900,399488,11881643,12281000,29005,42176,77.1,68.9,4.2,5.4,0,Northeast,Middle Atlantic,Individualistic,0.6,1,0.6,1,0.34,-0.02,0.11
312000,Ohio,31,OH,2000,506.2,334.1,4337.3,3707.7,61.03,71.4,88,87.3,21206.65,32644.85,230031,370617,10847115,11353000,30013,42962,77.4,74.1,4.1,5.7,8,Midwest,East North Central,Individualistic,0.6,1,1,1,0.33,-0.05,0.07
322000,Indiana,32,IN,2000,473.9,349.1,4209.4,3402.8,60.6,67.72,90.4,88.6,19982.83,31213.49,110788,189778,5544159,6080000,32542,46064,70.8,64.9,3.2,5.3,0,Midwest,East North Central,Individualistic,0.4,1,0,0.4,0.14,0,0.07
332000,Illinois,33,IL,2000,967.4,656.8,4967.7,3629.4,62.4,70.9,86.9,88,24132.24,37548.27,275846,466312,11430602,12419000,25305,37611,87.8,84.6,4.4,6.2,0,Midwest,East North Central,Individualistic,0.2,0.8,1,0.8,0.3,-0.01,0.09
342000,Michigan,34,MI,2000,790.4,555,5204.4,3554.9,61.95,70.4,90.3,90.5,20531.03,32573.65,190842,323717,9295297,9938000,29937,45512,74.7,70.5,3.6,7.6,6,Midwest,East North Central,Moralistic,0.3,1,1,0.1,0.65,-0.04,0.09
352000,Wisconsin,35,WI,2000,169.3,316.5,2333.7,2286.3,63.38,70.97,86.1,86.4,20534.08,32255.04,100448,173016,4891769,5364000,22137,29411,68.3,36.1,3.5,4.4,0,Midwest,East North Central,Moralistic,0.6,0.4,1,0.8,0.27,-0.02,0.05
412000,Minnesota,41,MN,2000,306.1,280.8,4232.7,3207.6,67.25,75.9,91.3,89.9,22955.37,37832.28,100432,186097,4375099,4919000,31465,54251,70.9,69.9,3.3,4.9,0,Midwest,West North Central,Moralistic,0,0,1,0,0.2,-0.03,-0.07
422000,Iowa,42,IA,2000,299.7,266.4,3801.2,2967.3,64.3,73.65,92.1,92.6,20093.96,30640.46,55796,89654,2776755,2926000,26928,40865,61.1,60.6,2.6,4.3,0,Midwest,West North Central,Moralistic,0.8,0.4,0.8,0.6,0.23,-0.04,0.1
432000,Missouri,43,MO,2000,715.3,490,4405.3,4037.7,59.88,71.5,86.5,88.2,20481.04,31653.98,104803,177104,5117073,5595000,20178,34299,69.4,68.7,3.5,5.8,12,Midwest,West North Central,Individualistic,0,0,0.2,0.8,0.29,-0.02,-0.02
442000,North Dakota,44,ND,2000,1180.9,553.9,5182.8,2545.7,62.05,69.78,92.6,93.3,17960.24,28903.43,11473,18556,638800,642000,31591,40744,55.9,53.3,3,4,15,Midwest,West North Central,Moralistic,1,0.6,0.8,1,0.08,0.19,0.16
452000,South Dakota,45,SD,2000,162.8,166.8,2746.5,2153,62.13,75.28,89.9,88.4,18703.92,31062.25,13018,23452,696004,755000,24571,36475,51.9,50,2.3,3.9,10,Midwest,West North Central,Moralistic,1,0.8,1,1,0.08,0.04,0
462000,Nebraska,46,NE,2000,623.5,497.6,4862.3,4421.8,66.07,73.95,88.7,87.6,21235.63,32524.25,33518,55649,1578385,1711000,26329,38317,69.8,66.1,3,2.2,10,Midwest,West North Central,Individualistic,,,0.2,,0.19,0,0.24
472000,Kansas,47,KS,2000,447.7,389.4,4745.4,4019.4,66.25,72.9,92.5,91.8,20773.14,31445.69,51467,84526,2477574,2688000,29917,41059,71.4,69.1,3.7,4.5,0,Midwest,West North Central,Moralistic,0.8,1,0.6,0.8,0.15,-0.06,0.09
512000,Delaware,51,DE,2000,655.2,684.4,4705.1,3793.6,63.47,70.57,87.2,85.3,30463.79,65117.14,20294,37247,666168,572000,27392,41222,80.1,73,4,5.2,0,South,South Atlantic,Individualistic,1,0,0.2,0.1,0.19,-0.02,0.06
522000,Maryland,52,MD,2000,919,786.6,4911.5,4029.5,65.43,72.35,89.1,87.9,24052.86,34941.27,115008,185049,4781468,5296000,38857,54535,86.1,81.3,3.9,4.7,0,South,South Atlantic,Individualistic,0,0,0,1,0.2,-0.03,-0.13
