,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,year
1,7.4,9.8,4.8,1017.6,93.0,0.0,0.5,4.3,9.4,239.69546508789062,2013
2,7.8,12.7,4.4,1018.5,87.0,0.0,0.6,4.4,11.1,182.1875,2013
6,6.7,13.4,2.4,1019.4,82.0,0.0,0.6,4.8,11.1,223.2083282470703,2013
7,8.6,15.5,3.3,1018.7,72.0,0.0,0.8,8.1,20.6,200.6458282470703,2013
8,12.4,20.9,4.4,1017.3,61.0,0.0,1.3,8.7,22.2,154.875,2013
12,16.0,25.2,10.0,1013.2,79.0,0.0,0.6,4.8,11.1,334.3411865234375,2013
13,13.4,21.0,9.2,1015.1,87.0,0.0,0.5,1.5,7.6,276.9083251953125,2013
14,14.3,22.6,6.6,1016.3,76.0,0.0,0.8,0.4,3.5,267.9818115234375,2013
18,12.7,18.9,7.3,1021.2,76.0,0.0,1.8,6.1,16.5,107.625,2013
19,11.9,18.9,6.3,1020.1,76.0,0.0,1.1,8.3,20.6,125.89167022705078,2013
20,12.2,19.9,6.2,1021.0,69.0,0.0,2.1,4.4,18.3,179.30833435058594,2013
24,13.4,21.1,5.6,1020.0,60.0,0.0,1.9,8.0,22.2,152.55416870117188,2013
25,12.3,21.4,6.4,1019.6,70.0,0.0,1.9,6.7,14.8,152.3208465576172,2013
26,13.7,22.0,7.0,1018.2,63.0,0.0,1.8,7.2,18.3,171.4291534423828,2013
30,14.9,21.9,7.1,1018.3,73.0,0.0,0.6,2.0,7.6,332.7083435058594,2013
31,15.0,24.0,7.6,1017.4,81.0,0.0,0.6,2.2,7.6,279.60000610351557,2013
32,16.3,24.0,12.0,1017.2,80.0,0.0,0.8,1.3,9.4,179.1166534423828,2013
33,18.7,26.3,9.5,1015.3,64.0,0.0,1.6,1.7,7.6,166.3000030517578,2013
37,14.6,21.6,9.4,1018.4,72.0,0.0,2.7,9.4,18.3,93.375,2013
38,14.7,21.7,8.4,1017.1,71.0,0.0,1.8,10.9,22.2,103.0,2013
39,14.8,22.6,8.5,1016.8,67.0,0.0,2.1,9.3,18.3,211.125,2013
43,17.4,25.4,10.3,1015.8,63.0,0.0,1.9,6.7,14.8,127.70833587646484,2013
44,18.1,26.7,10.2,1013.8,61.0,0.0,2.6,5.0,11.1,145.77777099609375,2013
45,18.3,23.2,12.7,1011.2,75.0,0.0,1.9,10.0,22.2,90.33333587646484,2013
49,16.4,22.0,11.2,1015.5,81.0,0.0,1.6,5.9,18.3,67.125,2013
50,16.9,23.5,10.1,1016.8,80.0,0.0,1.3,5.2,22.2,46.70833206176758,2013
51,19.3,26.9,12.1,1015.6,74.0,0.0,1.6,5.9,11.1,69.66666412353516,2013
55,17.2,24.2,10.8,1018.3,74.0,0.0,2.6,4.6,14.8,36.35714340209961,2013
